,price_IEF,price_TLT,price_SHY,price_LQD,price_HYG,price_JNK,price_MUB
2010-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2010-01-04,102.96938600476851,114.05501052489322,99.81162183344884,106.0850322700589,104.050909151027,104.09018619311831,103.59770486491698
2010-01-05,98.55667065970167,103.04807040054295,98.64908348328187,100.64905126551808,104.889866843647,104.83447623925858,99.9163358902717
2010-01-06,87.08183344562374,83.87766147412232,95.22797716214465,85.70087103811258,95.13787871607975,95.09370607253595,90.41581858259458
2010-01-07,87.68050996995386,83.85568433280336,95.71345659823473,86.20176427160295,106.37889556630469,106.49481781144628,90.71849553614584
2010-01-08,88.59483939532886,79.01368138204708,96.7479438962861,79.74821311376478,99.36196963716611,99.41805302247708,90.68399724188055
2010-01-11,79.41953846406223,59.22163985110751,93.69058101353704,69.75928705660559,86.44580518028597,86.55485393517688,82.4492523277063
2010-01-12,72.85173835538077,44.70909241386573,92.48867349045543,62.36155168925229,85.71310887921922,85.93618516701272,75.82320244226284
2010-01-13,75.19316746552937,46.829771391664224,93.37275235908066,82.18158976773292,76.77330008797252,76.81024464435068,77.76807843497153
2010-01-14,72.14680982024969,45.43222296231324,91.82834952345593,56.44969304529992,84.20298429725158,84.31628811968008,75.50039885739595
2010-01-15,76.54295245770918,53.20191007400775,92.51149170035292,70.18468587953811,82.5298149459271,82.74734987453762,80.014475589739
2010-01-18,79.29572971159861,58.11814809581753,93.2997016991151,60.70620162404213,85.45690054164061,85.68798029810468,82.49830985911444
2010-01-19,78.21229000991681,57.91378012171932,92.62301129750993,55.73054665554831,80.35479678768793,80.74010655532865,81.72150909804077
2010-01-20,87.42160205000683,71.0256882832261,96.30493200696277,75.35177748760178,86.16555548863812,86.37782366885443,89.68494808598493
2010-01-21,97.44038892883275,87.07045787862398,99.67348867497466,82.923264447725,94.76283066859982,94.8959642798694,98.32789806977115
2010-01-22,102.48579579295802,103.08133429498962,100.36263957351206,91.85618159753835,120.523935243646,120.49234190239329,103.60162311251185
2010-01-25,110.0508860930859,115.42257139419979,102.64115417339134,87.16324530411379,94.96372313956718,94.80557093007212,109.79508496776401
2010-01-26,106.09219135682169,105.55085044522274,101.97449760134974,91.00386062377031,89.89500980962457,89.57828164911915,106.40214021732524
2010-01-27,112.20884672757093,102.90878117016612,104.69315540687445,84.32931091519004,106.69185609482345,106.24946044625833,109.83130148855051
2010-01-28,123.578719083025,113.25897064818975,108.31153961078279,103.33976022966587,107.27255499794703,106.89977478753731,118.05006400900942
2010-01-29,108.87917267555234,84.75506065859544,105.05320603108818,87.91199266584654,107.16550299786763,106.98870889572744,105.685925832459
